CTR Code,order date,region,country,promotion_category,promotion_theme,product,sku,part_no,position,make_model,qty,unit_price,amount,currency,target,sell_type,customer,Customer_No
GK0383,2026-01-13,MENA,이라크,Portfolio Expansion Program,CHOICE_KIT,BRAKE PAD ASSY,GK0383,06450S5DA00,FRONT,HONDA_Accord 1990-1991,10,12.72,127.2,USD,B2B,SELL-IN,MESK AL-BARARI,200287
GY0272G,2026-01-13,MENA,이라크,Portfolio Expansion Program,CHOICE_KIT,SHOCK ABSORBER,GY0272G,13332639,REAR,CHEVROLET_Cruze 2008-2011,16,14.99,239.84,USD,B2B,SELL-IN,MESK AL-BARARI,200287
GY1056G,2026-01-13,MENA,이라크,Portfolio Expansion Program,CHOICE_KIT,SHOCK ABSORBER,GY1056G,553112S400,REAR,HYUNDAI_iX35 2009-,6,17.81,106.86,USD,B2B,SELL-IN,MESK AL-BARARI,200287
GY1068G,2026-01-13,MENA,이라크,Portfolio Expansion Program,CHOICE_KIT,SHOCK ABSORBER,GY1068G,553112S411,REAR,HYUNDAI_iX35 2009-,6,17.81,106.86,USD,B2B,SELL-IN,MESK AL-BARARI,200287
GY0479G,2026-01-13,MENA,이라크,Portfolio Expansion Program,CHOICE_KIT,SHOCK ABSORBER,GY0479G,546504L100,FRONT L,HYUNDAI_Solaris 2010-,30,26.59,797.7,USD,B2B,SELL-IN,MESK AL-BARARI,200287
GY0480G,2026-01-13,MENA,이라크,Portfolio Expansion Program,CHOICE_KIT,SHOCK ABSORBER,GY0480G,546604L100,FRONT R,HYUNDAI_New Accent 2010-2018,30,26.59,797.7,USD,B2B,SELL-IN,MESK AL-BARARI,200287
GY1378G,2026-01-13,MENA,이라크,Portfolio Expansion Program,CHOICE_KIT,SHOCK ABSORBER,GY1378G,553101G210,REAR,HYUNDAI_Accent 2002-2005,80,14.72,1177.6,USD,B2B,SELL-IN,MESK AL-BARARI,200287
CB0161,2026-02-20,LATAM,COLOMBIA,Mexico Awakening Campaign,CHOICE_KIT,BALL JOINT ASSY,CB0161,CBJ0235E-999,,CHEVROLET AVEO 2002-,480,3.61,1732.8,USD,B2B,SELL-IN,UNIVERSAL DE REPUESTOS,200443
CE0536L,2026-02-20,LATAM,COLOMBIA,Mexico Awakening Campaign,CHOICE_KIT,OUTER TIE ROD ASSY,CE0536L,ROT1307H-999,,NISSAN VERSA SEDAN 2012-,40,4.97,198.8,USD,B2B,SELL-IN,UNIVERSAL DE REPUESTOS,200443
CE0536R,2026-02-20,LATAM,COLOMBIA,Mexico Awakening Campaign,CHOICE_KIT,OUTER TIE ROD ASSY,CE0536R,ROT1308H-999,,NISSAN VERSA SEDAN 2012-,40,4.97,198.8,USD,B2B,SELL-IN,UNIVERSAL DE REPUESTOS,200443
CL0477,2026-02-20,LATAM,COLOMBIA,Mexico Awakening Campaign,CHOICE_KIT,S/LINK ASSY,CL0477,CSL0546H-999,,NISSAN CUBE 2002-2008,108,3.0,324.0,USD,B2B,SELL-IN,UNIVERSAL DE REPUESTOS,200443
CQ0096L,2026-02-20,LATAM,COLOMBIA,Mexico Awakening Campaign,CHOICE_KIT,LWR CONTROL ARM ASSY,CQ0096L,CLC0093F-999,,CHEVROLET AVEO 2002-,15,14.28,214.2,USD,B2B,SELL-IN,UNIVERSAL DE REPUESTOS,200443
CQ0096R,2026-02-20,LATAM,COLOMBIA,Mexico Awakening Campaign,CHOICE_KIT,LWR CONTROL ARM ASSY,CQ0096R,CLC0094F-999,,CHEVROLET AVEO 2002-,30,14.28,428.4,USD,B2B,SELL-IN,UNIVERSAL DE REPUESTOS,200443
CR0490,2026-02-20,LATAM,COLOMBIA,Mexico Awakening Campaign,CHOICE_KIT,INNER TIE ROD ASSY,CR0490,RIT0646K-999,,NISSAN MARCH 2010-,96,4.63,444.48,USD,B2B,SELL-IN,UNIVERSAL DE REPUESTOS,200443
GV0130,2026-02-20,LATAM,COLOMBIA,Mexico Awakening Campaign,CHOICE_KIT,BUSH AM,GV0130,CBH0334A-999,,GM KOREA KALOS 2002-,64,1.5,96.0,USD,B2B,SELL-IN,UNIVERSAL DE REPUESTOS,200443
GV0131,2026-02-20,LATAM,COLOMBIA,Mexico Awakening Campaign,CHOICE_KIT,BUSH AM,GV0131,CBH0335A-999,,DAEWOO KALOS 2002-2004,840,0.81,680.4,USD,B2B,SELL-IN,UNIVERSAL DE REPUESTOS,200443
GV0135,2026-02-20,LATAM,COLOMBIA,Mexico Awakening Campaign,CHOICE_KIT,BUSH AM,GV0135,CBH0339A-999,,DAEWOO KALOS 2002-,128,1.54,197.12,USD,B2B,SELL-IN,UNIVERSAL DE REPUESTOS,200443
CL0477,2026-02-20,LATAM,ECUADOR,Mexico Awakening Campaign,CHOICE_KIT,S/LINK ASSY,CL0477,CSL0546H-999,,NISSAN CUBE 2002-2008,200,4.03,806.0,USD,B2B,SELL-IN,COJAPAN,200312
CR0490,2026-02-20,LATAM,ECUADOR,Mexico Awakening Campaign,CHOICE_KIT,INNER TIE ROD ASSY,CR0490,RIT0646K-999,,NISSAN MARCH 2010-,55,5.7,313.5,USD,B2B,SELL-IN,COJAPAN,200312
GV0135,2026-02-20,LATAM,ECUADOR,Mexico Awakening Campaign,CHOICE_KIT,BUSH AM,GV0135,CBH0339A-999,,DAEWOO KALOS 2002-,105,1.29,135.45,USD,B2B,SELL-IN,COJAPAN,200312
CB0161,2026-02-20,LATAM,ECUADOR,Mexico Awakening Campaign,CHOICE_KIT,BALL JOINT ASSY,CB0161,CBJ0235E-999,,CHEVROLET AVEO 2002-,900,4.03,3627.0,USD,B2B,SELL-IN,COJAPAN,200312
CQ0096R,2026-02-20,LATAM,ECUADOR,Mexico Awakening Campaign,CHOICE_KIT,LWR CONTROL ARM ASSY,CQ0096R,CLC0094F-999,,CHEVROLET AVEO 2002-,43,16.09,691.87,USD,B2B,SELL-IN,COJAPAN,200312
CQ0096L,2026-02-20,LATAM,ECUADOR,Mexico Awakening Campaign,CHOICE_KIT,LWR CONTROL ARM ASSY,CQ0096L,CLC0093F-999,,CHEVROLET AVEO 2002-,55,16.09,884.95,USD,B2B,SELL-IN,COJAPAN,200312
CL0477,2026-02-20,LATAM,ECUADOR,Mexico Awakening Campaign,CHOICE_KIT,S/LINK ASSY,CL0477,CSL0546H-999,,NISSAN CUBE 2002-2008,200,4.03,806.0,USD,B2B,SELL-IN,COJAPAN,200312
CR0490,2026-02-20,LATAM,ECUADOR,Mexico Awakening Campaign,CHOICE_KIT,INNER TIE ROD ASSY,CR0490,RIT0646K-999,,NISSAN MARCH 2010-,55,5.7,313.5,USD,B2B,SELL-IN,COJAPAN,200312
GV0135,2026-02-20,LATAM,ECUADOR,Mexico Awakening Campaign,CHOICE_KIT,BUSH AM,GV0135,CBH0339A-999,,DAEWOO KALOS 2002-,105,1.29,135.45,USD,B2B,SELL-IN,COJAPAN,200312
CQ0096R,2026-02-20,LATAM,ECUADOR,Mexico Awakening Campaign,CHOICE_KIT,LWR CONTROL ARM ASSY,CQ0096R,CLC0094F-999,,CHEVROLET AVEO 2002-,43,16.09,691.87,USD,B2B,SELL-IN,COJAPAN,200312
CQ0096L,2026-02-20,LATAM,ECUADOR,Mexico Awakening Campaign,CHOICE_KIT,LWR CONTROL ARM ASSY,CQ0096L,CLC0093F-999,,CHEVROLET AVEO 2002-,55,16.09,884.95,USD,B2B,SELL-IN,COJAPAN,200312
CB0161,2026-02-20,LATAM,ECUADOR,Mexico Awakening Campaign,CHOICE_KIT,BALL JOINT ASSY,CB0161,CBJ0235E-999,,CHEVROLET AVEO 2002-,900,4.03,3627.0,USD,B2B,SELL-IN,COJAPAN,200312
CB0161,2026-02-20,LATAM,ECUADOR,Mexico Awakening Campaign,CHOICE_KIT,BALL JOINT ASSY,CB0161,CBJ0235E-999,,CHEVROLET AVEO 2002-,900,4.03,3627.0,USD,B2B,SELL-IN,COJAPAN,200312
CL0477,2026-02-20,LATAM,ECUADOR,Mexico Awakening Campaign,CHOICE_KIT,S/LINK ASSY,CL0477,CSL0546H-999,,NISSAN CUBE 2002-2008,100,4.03,403.0,USD,B2B,SELL-IN,HIVIMAR S.A.,200181
GY0618G,2026-02-20,MENA,이라크,Portfolio Expansion Program,CHOICE_KIT,SHOCK ABSORBER,GY0618G,553101C200,REAR,HYUNDAI_Click 2001-2006,24,13.87,332.88,USD,B2B,SELL-IN,MESK AL-BARARI,200287
GY0479G,2026-02-20,MENA,이라크,Portfolio Expansion Program,CHOICE_KIT,SHOCK ABSORBER,GY0479G,546504L100,FRONT L,HYUNDAI_Solaris 2010-,10,26.59,265.9,USD,B2B,SELL-IN,MESK AL-BARARI,200287
GY1378G,2026-02-20,MENA,이라크,Portfolio Expansion Program,CHOICE_KIT,SHOCK ABSORBER,GY1378G,553101G210,REAR,HYUNDAI_Accent 2002-2005,20,14.72,294.4,USD,B2B,SELL-IN,MESK AL-BARARI,200287
CL0477,2026-02-25,LATAM,ECUADOR,Mexico Awakening Campaign,CHOICE_KIT,S/LINK ASSY,CL0477,CSL0546H-999,,NISSAN CUBE 2002-2008,20,4.03,80.6,USD,B2B,SELL-IN,HIVIMAR S.A.,200181
CE0536R,2026-02-25,LATAM,ECUADOR,Mexico Awakening Campaign,CHOICE_KIT,OUTER TIE ROD ASSY,CE0536R,ROT1308H-999,,NISSAN VERSA SEDAN 2012-,5,6.99,34.95,USD,B2B,SELL-IN,HIVIMAR S.A.,200181
CE0536L,2026-02-25,LATAM,ECUADOR,Mexico Awakening Campaign,CHOICE_KIT,OUTER TIE ROD ASSY,CE0536L,ROT1307H-999,,NISSAN VERSA SEDAN 2012-,5,6.99,34.95,USD,B2B,SELL-IN,HIVIMAR S.A.,200181
CL0477,2026-02-25,LATAM,ECUADOR,Mexico Awakening Campaign,CHOICE_KIT,S/LINK ASSY,CL0477,CSL0546H-999,,NISSAN CUBE 2002-2008,20,4.03,80.6,USD,B2B,SELL-IN,HIVIMAR S.A.,200181
CE0536R,2026-02-25,LATAM,ECUADOR,Mexico Awakening Campaign,CHOICE_KIT,OUTER TIE ROD ASSY,CE0536R,ROT1308H-999,,NISSAN VERSA SEDAN 2012-,5,6.99,34.95,USD,B2B,SELL-IN,HIVIMAR S.A.,200181
CE0536L,2026-02-25,LATAM,ECUADOR,Mexico Awakening Campaign,CHOICE_KIT,OUTER TIE ROD ASSY,CE0536L,ROT1307H-999,,NISSAN VERSA SEDAN 2012-,5,6.99,34.95,USD,B2B,SELL-IN,HIVIMAR S.A.,200181
GV0130,2026-03-03,LATAM,PERU,Mexico Awakening Campaign,CHOICE_KIT,BUSH AM,GV0130,CBH0334A-999,,GM KOREA KALOS 2002-,250,2.11,527.5,USD,B2B,SELL-IN,REFAX PERU,200193
CL0477,2026-03-03,LATAM,PERU,Mexico Awakening Campaign,CHOICE_KIT,S/LINK ASSY,CL0477,CSL0546H-999,,NISSAN CUBE 2002-2008,260,5.86,1523.6,USD,B2B,SELL-IN,REFAX PERU,200193
CE0536R,2026-03-03,LATAM,PERU,Mexico Awakening Campaign,CHOICE_KIT,OUTER TIE ROD ASSY,CE0536R,ROT1308H-999,,NISSAN VERSA SEDAN 2012-,50,6.9,345.0,USD,B2B,SELL-IN,REFAX PERU,200193
CE0536L,2026-03-03,LATAM,PERU,Mexico Awakening Campaign,CHOICE_KIT,OUTER TIE ROD ASSY,CE0536L,ROT1307H-999,,NISSAN VERSA SEDAN 2012-,40,6.9,276.0,USD,B2B,SELL-IN,REFAX PERU,200193
CQ0096R,2026-03-03,LATAM,PERU,Mexico Awakening Campaign,CHOICE_KIT,LWR CONTROL ARM ASSY,CQ0096R,CLC0094F-999,,CHEVROLET AVEO 2002-,50,15.03,751.5,USD,B2B,SELL-IN,REFAX PERU,200193
CQ0096L,2026-03-03,LATAM,PERU,Mexico Awakening Campaign,CHOICE_KIT,LWR CONTROL ARM ASSY,CQ0096L,CLC0093F-999,,CHEVROLET AVEO 2002-,30,15.03,450.9,USD,B2B,SELL-IN,REFAX PERU,200193
CQ0280R,2026-03-03,LATAM,PERU,Mexico Awakening Campaign,CHOICE_KIT,LWR CONTROL ARM ASSY,CQ0280R,CLC0472K-999,,NISSAN MARCH 2010-,70,15.64,1094.8,USD,B2B,SELL-IN,REFAX PERU,200193
CQ0280L,2026-03-03,LATAM,PERU,Mexico Awakening Campaign,CHOICE_KIT,LWR CONTROL ARM ASSY,CQ0280L,CLC0473K-999,,NISSAN MARCH 2010-,70,15.64,1094.8,USD,B2B,SELL-IN,REFAX PERU,200193
CQ0280L,2026-03-05,LATAM,멕시코,CTR MarketFit Campaign,CHOICE_KIT,CONTROL ARM,CQ0280L,545011HA0C,LOWER L,NISSAN MARCH 2010-,90,14.4,1296,USD,B2B,SELL-IN,REFATRIX,289404
CL0477,2026-03-05,LATAM,멕시코,CTR MarketFit Campaign,CHOICE_KIT,STABILIZER LINK,CL0477,546181FE0A,FRONT,NISSAN CUBE 2002-2008,30,2.92,87.6,USD,B2B,SELL-IN,REFATRIX,289404
CR0490,2026-03-05,LATAM,멕시코,CTR MarketFit Campaign,CHOICE_KIT,INNER TIE ROD,CR0490,485211HK0A,R/L,NISSAN MARCH 2010-,12,3.8,45.6,USD,B2B,SELL-IN,REFATRIX,289404
CE0536L,2026-03-05,LATAM,멕시코,CTR MarketFit Campaign,CHOICE_KIT,OUTER TIE ROD,CE0536L,D86401HK0A,OUTER,NISSAN VERSA SEDAN 2012-,12,5.2,62.4,USD,B2B,SELL-IN,REFATRIX,289404
CE0536R,2026-03-05,LATAM,멕시코,CTR MarketFit Campaign,CHOICE_KIT,OUTER TIE ROD,CE0536R,D85201HK0A,OUTER,NISSAN VERSA SEDAN 2012-,12,5.2,62.4,USD,B2B,SELL-IN,REFATRIX,289404
CB0336,2026-03-05,LATAM,멕시코,CTR MarketFit Campaign,CHOICE_KIT,BALL JOINT,CB0336,401601HJ0A,LOWER,NISSAN MARCH 2010-,20,3.36,67.2,USD,B2B,SELL-IN,REFATRIX,289404
CE0287L,2026-03-05,LATAM,멕시코,CTR MarketFit Campaign,CHOICE_KIT,OUTER TIE ROD,CE0287L,521595,OUTER L,GM KOREA AVEO 2002-2005,12,3.69,44.28,USD,B2B,SELL-IN,REFATRIX,289404
CE0287R,2026-03-05,LATAM,멕시코,CTR MarketFit Campaign,CHOICE_KIT,OUTER TIE ROD,CE0287R,93740623,OUTER R,GM KOREA KALOS 2002-2004,12,3.69,44.28,USD,B2B,SELL-IN,REFATRIX,289404
CB0161,2026-03-05,LATAM,멕시코,CTR MarketFit Campaign,CHOICE_KIT,BALL JOINT,CB0161,96535089,LOWER,GM KOREA AVEO 2002-,10,4.39,43.9,USD,B2B,SELL-IN,REFATRIX,289404
CL0477,2026-03-05,LATAM,멕시코,CTR MarketFit Campaign,CHOICE_KIT,STABILIZER LINK ASSY,CL0477,54618-JX00A,Front,NISSAN MICRA 2015 - 2019,288,2.92,840.96,USD,B2B,SELL-IN,REFATRIX,289404
GV0130,2026-03-05,LATAM,멕시코,CTR MarketFit Campaign,CHOICE_KIT,BUSH,GV0130,95479763,FRT CONTROL ARM,GM KOREA KALOS 2002-,64,1.54,98.56,USD,B2B,SELL-IN,REFATRIX,289404
CQ0280R,2026-03-05,LATAM,멕시코,CTR MarketFit Campaign,CHOICE_KIT,LWR CONTROL ARM ASSY,CQ0280R,54500-1HK1A,Front Right Lower,NISSAN MICRA 2015 - 2018,90,14.4,1296,USD,B2B,SELL-IN,REFATRIX,289404
CB0336,2026-03-05,LATAM,멕시코,CTR MarketFit Campaign,CHOICE_KIT,BALL JOINT,CB0336,401601HJ0A,LOWER,NISSAN MARCH 2010-,30,3.36,100.8,USD,B2B,SELL-IN,REFATRIX,289404
CL0240,2026-03-05,LATAM,멕시코,CTR MarketFit Campaign,CHOICE_KIT,STABILIZER LINK,CL0240,96275798,FRONT,GM KOREA NUBIRA 1997-1999,24,2.68,64.32,USD,B2B,SELL-IN,REFATRIX,289404
CE0536R,2026-03-05,LATAM,멕시코,CTR MarketFit Campaign,CHOICE_KIT,OUTER TIE ROD,CE0536R,D85201HK0A,OUTER,NISSAN VERSA SEDAN 2012-,25,5.2,130,USD,B2B,SELL-IN,REFATRIX,289404
CE0536L,2026-03-05,LATAM,멕시코,CTR MarketFit Campaign,CHOICE_KIT,OUTER TIE ROD,CE0536L,D86401HK0A,OUTER,NISSAN VERSA SEDAN 2012-,25,5.2,130,USD,B2B,SELL-IN,REFATRIX,289404
CR0490,2026-03-05,LATAM,멕시코,CTR MarketFit Campaign,CHOICE_KIT,INNER TIE ROD,CR0490,485211HK0A,R/L,NISSAN MARCH 2010-,32,3.8,121.6,USD,B2B,SELL-IN,REFATRIX,289404
CQ0096R,2026-03-05,LATAM,멕시코,CTR MarketFit Campaign,CHOICE_KIT,LWR CONTROL ARM ASSY,CQ0096R,95975942,Front Right Lower,CHEVROLET AVEO 2004 - 2011,5,14.01,70.05,USD,B2B,SELL-IN,REFATRIX,289404
CQ0096L,2026-03-05,LATAM,멕시코,CTR MarketFit Campaign,CHOICE_KIT,LWR CONTROL ARM ASSY,CQ0096L,95975941,Front Left Lower,CHEVROLET AVEO 2004 - 2011,5,14.01,70.05,USD,B2B,SELL-IN,REFATRIX,289404
CB0161,2026-03-06,LATAM,아르헨티나,CTR MarketFit Campaign,CHOICE_KIT,BALL JOINT,CB0161,96535089,LOWER,GM KOREA AVEO 2002-,40,4.14,165.6,USD,B2B,SELL-IN,CORVEN S.A.C.I.F.,200745
CE0287R,2026-03-06,LATAM,아르헨티나,CTR MarketFit Campaign,CHOICE_KIT,OUTER TIE ROD,CE0287R,93740623,OUTER R,GM KOREA KALOS 2002-2004,24,3.89,93.36,USD,B2B,SELL-IN,CORVEN S.A.C.I.F.,200745
CL0477,2026-03-06,LATAM,아르헨티나,CTR MarketFit Campaign,CHOICE_KIT,STABILIZER LINK ASSY,CL0477,54618-JX00A,Front,NISSAN MICRA 2015 - 2019,10,3.21,32.1,USD,B2B,SELL-IN,CORVEN S.A.C.I.F.,200745
CB0161,2026-03-06,LATAM,ARGENTINA,Mexico Awakening Campaign,CHOICE_KIT,BALL JOINT ASSY,CB0161,CBJ0235E-999,,CHEVROLET AVEO 2002-,40,4.14,165.6,USD,B2B,SELL-IN,CORVEN S.A.C.I.F.,200745
CL0477,2026-03-06,LATAM,ARGENTINA,Mexico Awakening Campaign,CHOICE_KIT,S/LINK ASSY,CL0477,CSL0546H-999,,NISSAN CUBE 2002-2008,10,3.21,32.1,USD,B2B,SELL-IN,CORVEN S.A.C.I.F.,200745
CB0336,2026-03-11,LATAM,엘살바도르,CTR MarketFit Campaign,CHOICE_KIT,BALL JOINT,CB0336,401601HJ0A,LOWER,NISSAN MARCH 2010-,50,4.4,220,USD,B2B,SELL-IN,SUPER REPUESTOS,200169
CE0287L,2026-03-11,LATAM,엘살바도르,CTR MarketFit Campaign,CHOICE_KIT,OUTER TIE ROD,CE0287L,521595,OUTER L,GM KOREA AVEO 2002-2005,60,3.97,238.2,USD,B2B,SELL-IN,SUPER REPUESTOS,200169
CE0287R,2026-03-11,LATAM,엘살바도르,CTR MarketFit Campaign,CHOICE_KIT,OUTER TIE ROD,CE0287R,93740623,OUTER R,GM KOREA KALOS 2002-2004,60,3.97,238.2,USD,B2B,SELL-IN,SUPER REPUESTOS,200169
