CTR Code,order date,region,country,promotion_category,promotion_theme,product,sku,part_no,position,make_model,qty,unit_price,amount,currency,target,sell_type,customer,Customer_No
GK0383,2026-01-13,MENA,이라크,Portfolio Expansion Program,CHOICE_KIT,BRAKE PAD ASSY,GK0383,06450S5DA00,FRONT,HONDA_Accord 1990-1991,10,12.72,161.8,USD,B2B,SELL-IN,MESK AL-BARARI,200287
GY0272G,2026-01-13,MENA,이라크,Portfolio Expansion Program,CHOICE_KIT,SHOCK ABSORBER,GY0272G,13332639,REAR,CHEVROLET_Cruze 2008-2011,16,14.99,224.7,USD,B2B,SELL-IN,MESK AL-BARARI,200287
GY1056G,2026-01-13,MENA,이라크,Portfolio Expansion Program,CHOICE_KIT,SHOCK ABSORBER,GY1056G,553112S400,REAR,HYUNDAI_iX35 2009-,6,17.81,317.2,USD,B2B,SELL-IN,MESK AL-BARARI,200287
GY1068G,2026-01-13,MENA,이라크,Portfolio Expansion Program,CHOICE_KIT,SHOCK ABSORBER,GY1068G,553112S411,REAR,HYUNDAI_iX35 2009-,6,17.81,317.2,USD,B2B,SELL-IN,MESK AL-BARARI,200287
GY0479G,2026-01-13,MENA,이라크,Portfolio Expansion Program,CHOICE_KIT,SHOCK ABSORBER,GY0479G,546504L100,FRONT L,HYUNDAI_Solaris 2010-,30,26.59,707.03,USD,B2B,SELL-IN,MESK AL-BARARI,200287
GY0480G,2026-01-13,MENA,이라크,Portfolio Expansion Program,CHOICE_KIT,SHOCK ABSORBER,GY0480G,546604L100,FRONT R,HYUNDAI_New Accent 2010-2018,30,26.59,707.03,USD,B2B,SELL-IN,MESK AL-BARARI,200287
GY1378G,2026-01-13,MENA,이라크,Portfolio Expansion Program,CHOICE_KIT,SHOCK ABSORBER,GY1378G,553101G210,REAR,HYUNDAI_Accent 2002-2005,80,14.72,216.68,USD,B2B,SELL-IN,MESK AL-BARARI,200287
GY0618G,2026-02-20,MENA,이라크,Portfolio Expansion Program,CHOICE_KIT,SHOCK ABSORBER,GY0618G,553101C200,REAR,HYUNDAI_Click 2001-2006,24,13.87,192.38,USD,B2B,SELL-IN,MESK AL-BARARI,200287
GY0479G,2026-02-20,MENA,이라크,Portfolio Expansion Program,CHOICE_KIT,SHOCK ABSORBER,GY0479G,546504L100,FRONT L,HYUNDAI_Solaris 2010-,10,26.59,707.03,USD,B2B,SELL-IN,MESK AL-BARARI,200287
GY1378G,2026-02-20,MENA,이라크,Portfolio Expansion Program,CHOICE_KIT,SHOCK ABSORBER,GY1378G,553101G210,REAR,HYUNDAI_Accent 2002-2005,20,14.72,216.68,USD,B2B,SELL-IN,MESK AL-BARARI,200287
CB0210R,2026-03-23,CIS,카자흐스탄,Asian vehicle,CHOICE_KIT,BALL JOINT ASSY,CB0210R,54530-D3100 54530-D7100,FRONT LOWER R,KIA | SPORTAGE (NQ5) 2021-,7,7.11,49.77,USD,B2B,SELL-IN,ROSSKO KZ,287584
CE0337L,2026-03-23,CIS,카자흐스탄,Asian vehicle,CHOICE_KIT,OUTER TIE ROD ASSY,CE0337L,56820-0U500 56820-1R501 / 56820-0U500 56820-1R501 56820-1W000,FRONT L,"HYUNDAI | ACCENT/ SOLARIS (RB) 2010- / KIA | RIO (QBR,UB) 2011-2017",4,6.28,25.12,USD,B2B,SELL-IN,ROSSKO KZ,287584
CE0337R,2026-03-23,CIS,카자흐스탄,Asian vehicle,CHOICE_KIT,OUTER TIE ROD ASSY,CE0337R,56820-0U590 56821-1R591 / 56820-0U590 56820-1W090 56821-1R591,FRONT R,"HYUNDAI | ACCENT/ SOLARIS (RB) 2010- / KIA | RIO (QBR,UB) 2011-2017",4,6.28,25.12,USD,B2B,SELL-IN,ROSSKO KZ,287584
